residuals,predicted,model,actual
-0.01784727759473929,0.01784727759473929,GBM (Grid),0.0
-0.0023520581560455577,0.0023520581560455577,GBM (Grid),
-0.016296009013832304,0.016296009013832304,GBM (Grid),
-0.008905321807686425,0.008905321807686425,GBM (Grid),
-0.01053363156230513,0.01053363156230513,GBM (Grid),
-0.052276216915938464,0.052276216915938464,GBM (Grid),
0.5033300296669707,0.01683552415349959,GBM (Grid),
-0.00095428450483027,0.00095428450483027,GBM (Grid),0.0
7.660898791224726e-05,-7.660898791224726e-05,GBM (Grid),
-0.000954284504830264,0.000954284504830264,GBM (Grid),
-0.000362734705950064,0.000362734705950064,GBM (Grid),0.0
-0.010798907207921609,0.010798907207921609,GBM (Grid),
0.0023126087255259317,-0.0023126087255259317,GBM (Grid),
-0.000954284504830264,0.000954284504830264,GBM (Grid),
-0.0005015262286995105,0.0005015262286995105,GBM (Grid),
-0.052276216915938464,0.052276216915938464,GBM (Grid),0.0
-0.0005015262286995165,0.0005015262286995165,GBM (Grid),0.0
-0.009374492534529173,0.009374492534529173,GBM (Grid),
-0.000954284504830264,0.000954284504830264,GBM (Grid),0.4143212969100632
0.0016738257628196058,-0.0016738257628196058,GBM (Grid),
-0.008112377722949173,0.008112377722949173,GBM (Grid),
-0.04693346347803433,0.04693346347803433,GBM (Grid),
-0.057514513515043976,0.057514513515043976,GBM (Grid),
-0.000362734705950064,0.000362734705950064,GBM (Grid),
-0.015493782260263758,0.015493782260263758,GBM (Grid),
7.660898791224118e-05,-7.660898791224118e-05,GBM (Grid),
0.0030024032424604656,-0.0030024032424604656,GBM (Grid),
-0.011125181361185328,0.011125181361185328,GBM (Grid),
-0.008403066696907366,0.008403066696907366,GBM (Grid),0.0
-0.009212639072594793,0.009212639072594793,GBM (Grid),
-0.008682381374637718,0.008682381374637718,GBM (Grid),
0.0016738257628196118,-0.0016738257628196118,GBM (Grid),0.0
-0.006387297145581117,0.006387297145581117,GBM (Grid),
-0.0011532649907312084,0.0011532649907312084,GBM (Grid),
-0.00036273470595005707,0.00036273470595005707,GBM (Grid),
-0.01053363156230513,0.01053363156230513,GBM (Grid),0.0
-0.0045360469579137,0.0045360469579137,GBM (Grid),0.0
-0.0046656234852363145,0.0046656234852363145,GBM (Grid),
-0.01683552415349959,0.01683552415349959,GBM (Grid),
-0.01683552415349959,0.01683552415349959,GBM (Grid),
-0.00036273470595006314,0.00036273470595006314,GBM (Grid),
-0.01053363156230513,0.01053363156230513,GBM (Grid),0.0
-0.011125181361185328,0.011125181361185328,GBM (Grid),
-0.000362734705950064,0.000362734705950064,GBM (Grid),
-0.008905321807686425,0.008905321807686425,GBM (Grid),0.0
-0.0023520581560455456,0.0023520581560455456,GBM (Grid),0.0
7.660898791224726e-05,-7.660898791224726e-05,GBM (Grid),
-0.011125181361185328,0.011125181361185328,GBM (Grid),
-0.0636121911353234,0.0636121911353234,GBM (Grid),
0.004318209623987768,0.4931475347041753,GBM (Grid),
-0.052415008438687904,0.052415008438687904,GBM (Grid),
-0.01683552415349959,0.01683552415349959,GBM (Grid),0.0
-0.0011532649907312084,0.0011532649907312084,GBM (Grid),0.0
-0.0003627347059500701,0.0003627347059500701,GBM (Grid),
-0.0011532649907312084,0.0011532649907312084,GBM (Grid),0.0
-0.001978843740284735,0.001978843740284735,GBM (Grid),
-0.015246673522245981,0.015246673522245981,GBM (Grid),
-0.0005015262286995226,0.0005015262286995226,GBM (Grid),
0.0002767656902886969,-0.0002767656902886969,GBM (Grid),0.0
7.660898791223511e-05,-7.660898791223511e-05,GBM (Grid),
-0.040704887467554976,0.040704887467554976,GBM (Grid),
-0.052276216915938464,0.052276216915938464,GBM (Grid),
-0.0022259524783025163,0.0022259524783025163,GBM (Grid),
-0.010798907207921609,0.010798907207921609,GBM (Grid),0.0
-0.00036273470595006314,0.00036273470595006314,GBM (Grid),
0.0030617307902057324,-0.0030617307902057324,GBM (Grid),
-0.05064790716131976,0.05064790716131976,GBM (Grid),
-0.008112377722949168,0.008112377722949168,GBM (Grid),0.0
-0.012854260314397155,0.012854260314397155,GBM (Grid),
-0.0636121911353234,0.0636121911353234,GBM (Grid),
-0.052276216915938464,0.052276216915938464,GBM (Grid),0.0
0.0030617307902057324,-0.0030617307902057324,GBM (Grid),0.0
-0.0011532649907312145,0.0011532649907312145,GBM (Grid),0.0
-0.00095428450483027,0.00095428450483027,GBM (Grid),
-0.005566038473692166,0.005566038473692166,GBM (Grid),
-0.0005015262286995165,0.0005015262286995165,GBM (Grid),
0.002873206115946064,-0.002873206115946064,GBM (Grid),
-0.0019407141363585831,0.0019407141363585831,GBM (Grid),
0.0023126087255259317,-0.0023126087255259317,GBM (Grid),
-0.011125181361185328,0.011125181361185328,GBM (Grid),0.0
-0.01683552415349959,0.01683552415349959,GBM (Grid),0.0
0.004606369322019299,0.4928593750061438,GBM (Grid),0.0
-0.008682381374637718,0.008682381374637718,GBM (Grid),
-0.0009542845048302761,0.0009542845048302761,GBM (Grid),
-0.0011532649907312084,0.0011532649907312084,GBM (Grid),
7.660898791224205e-05,-7.660898791224205e-05,GBM (Grid),
7.660898791224726e-05,-7.660898791224726e-05,GBM (Grid),0.0
0.0030024032424604595,-0.0030024032424604595,GBM (Grid),
-0.000362734705950064,0.000362734705950064,GBM (Grid),0.0
-0.000954284504830264,0.000954284504830264,GBM (Grid),
-0.008905321807686425,0.008905321807686425,GBM (Grid),
-0.042033464947195835,0.042033464947195835,GBM (Grid),0.0
0.35655967465700145,0.05776162225306176,GBM (Grid),
-0.01683552415349959,0.01683552415349959,GBM (Grid),0.0
-0.012854260314397155,0.012854260314397155,GBM (Grid),
0.004067803422415972,0.4933979409057471,GBM (Grid),0.0
0.0016738257628196118,-0.0016738257628196118,GBM (Grid),
-0.000954284504830264,0.000954284504830264,GBM (Grid),
-0.00095428450483027,0.00095428450483027,GBM (Grid),
-0.009273931173517916,0.009273931173517916,GBM (Grid),
-0.0011532649907312084,0.0011532649907312084,GBM (Grid),
-0.015493782260263758,0.015493782260263758,GBM (Grid),
-0.0030891949210912996,0.0030891949210912996,GBM (Grid),
-0.011125181361185328,0.011125181361185328,GBM (Grid),0.0
0.002800360779646781,-0.002800360779646781,GBM (Grid),
-0.0046656234852363145,0.0046656234852363145,GBM (Grid),0.0
-0.0003627347059500701,0.0003627347059500701,GBM (Grid),0.0
-0.0046656234852363145,0.0046656234852363145,GBM (Grid),
-0.0022259524783025163,0.0022259524783025163,GBM (Grid),
-0.00937449253452916,0.00937449253452916,GBM (Grid),0.0
-0.012854260314397155,0.012854260314397155,GBM (Grid),
-0.01053363156230513,0.01053363156230513,GBM (Grid),
-0.011125181361185328,0.011125181361185328,GBM (Grid),0.0
-0.009273931173517916,0.009273931173517916,GBM (Grid),
-0.011125181361185328,0.011125181361185328,GBM (Grid),
0.004318209623987768,0.4931475347041753,GBM (Grid),
-0.06863537393718126,0.06863537393718126,GBM (Grid),
-0.0636121911353234,0.0636121911353234,GBM (Grid),
-0.0030891949210913126,0.0030891949210913126,GBM (Grid),
-0.001978843740284741,0.001978843740284741,GBM (Grid),0.0
-0.011125181361185328,0.011125181361185328,GBM (Grid),
-0.000362734705950064,0.000362734705950064,GBM (Grid),
-0.00095428450483027,0.00095428450483027,GBM (Grid),0.0
-0.008905321807686425,0.008905321807686425,GBM (Grid),
7.660898791224726e-05,-7.660898791224726e-05,GBM (Grid),
-0.008905321807686425,0.008905321807686425,GBM (Grid),
0.004318209623987768,0.4931475347041753,GBM (Grid),
-0.009212639072594793,0.009212639072594793,GBM (Grid),
-0.010798907207921609,0.010798907207921609,GBM (Grid),
-0.008905321807686425,0.008905321807686425,GBM (Grid),0.0
-0.01053363156230513,0.01053363156230513,GBM (Grid),
-0.0009542845048302761,0.0009542845048302761,GBM (Grid),
7.660898791224726e-05,-7.660898791224726e-05,GBM (Grid),
-0.00095428450483027,0.00095428450483027,GBM (Grid),
-0.0022259524783025102,0.0022259524783025102,GBM (Grid),0.0
0.0030617307902057324,-0.0030617307902057324,GBM (Grid),
7.660898791224726e-05,-7.660898791224726e-05,GBM (Grid),
-0.00924129436314444,0.00924129436314444,GBM (Grid),
-0.01053363156230513,0.01053363156230513,GBM (Grid),
-0.01869361309846434,0.01869361309846434,GBM (Grid),0.0
-0.0011532649907312145,0.0011532649907312145,GBM (Grid),
7.660898791223511e-05,-7.660898791223511e-05,GBM (Grid),
-0.008682381374637718,0.008682381374637718,GBM (Grid),
-0.000954284504830264,0.000954284504830264,GBM (Grid),
-0.00036273470595005707,0.00036273470595005707,GBM (Grid),
-0.0636121911353234,0.0636121911353234,GBM (Grid),0.0
